GEOLEV2,ABOVE_POVERTY_POP,BELOW_POVERTY_POP,ABOVE_POVERTY_PCT,BELOW_POVERTY_PCT
484016005,1820,7196,20.19,79.81
484016006,28739,59819,32.45,67.55
484016007,329,1927,14.58,85.42
484016008,2504,13438,15.71,84.29
484016009,5970,19202,23.72,76.28
484016010,3046,12670,19.38,80.62
484016011,2180,6698,24.56,75.44
484016012,10878,20333,34.85,65.15
484016013,672,5850,10.3,89.7
484016014,3242,6556,33.09,66.91
484016015,2882,10578,21.41,78.59
484016016,1403,15370,8.36,91.64
484016017,4309,30841,12.26,87.74
484016018,950,5862,13.95,86.05
484016019,2972,11060,21.18,78.82
484016020,3868,15775,19.69,80.31
484016021,1113,6848,13.98,86.02
484016022,3743,11589,24.41,75.59
484016023,1239,5676,17.92,82.08
484016024,2366,10452,18.46,81.54
484016025,5687,20982,21.32,78.68
484016026,367,4149,8.13,91.87
484016027,364,3167,10.31,89.69
484016028,596,2904,17.03,82.97
484016029,1102,9798,10.11,89.89
484016030,1557,8392,15.65,84.35
484016031,1807,9201,16.42,83.58
484016032,3984,10680,27.17,72.83
484016033,19177,64409,22.94,77.06
484016034,3348,20439,14.07,85.93
484016035,2069,7367,21.93,78.07
484016036,434,5464,7.36,92.64
484016037,6731,25178,21.09,78.91
484016038,845,4681,15.29,84.71
484016039,1997,9367,17.57,82.43
484016040,1555,8393,15.63,84.37
484016041,2490,7966,23.81,76.19
484016042,15417,28222,35.33,64.67
484016043,1272,8164,13.48,86.52
484016044,9180,25196,26.7,73.3
484016045,1331,8740,13.22,86.78
484016046,2211,12749,14.78,85.22
484016047,1032,4002,20.5,79.5
484016048,1741,10994,13.67,86.33
484016049,8316,49178,14.46,85.54
484016050,52207,77248,40.33,59.67
484016051,194357,351937,35.58,64.42
484016052,660,5268,11.13,88.87
484016053,9672,23383,29.26,70.74
484016054,2812,16890,14.27,85.73
