GEOLEV2,OWNED_HH,UNOWNED_HH,OWNED_UK_HH,OWNED_PCT,UNOWNED_PCT,OWNED_UK_PCT
484015088,52661,9980,212,83.78,15.88,0.34
484015089,40474,11859,66,77.24,22.63,0.13
484015090,22596,4060,369,83.61,15.02,1.37
484015091,15687,2210,6,87.62,12.34,0.03
484015092,31516,3304,168,90.08,9.44,0.48
484015093,14035,2232,4,86.26,13.72,0.02
484015094,4270,815,8,83.84,16.0,0.16
484015095,29828,6329,108,82.25,17.45,0.3
484015096,58619,10404,385,84.46,14.99,0.55
484015097,12878,1264,82,90.54,8.89,0.58
484015098,35898,9483,55,79.01,20.87,0.12
484015099,29776,4580,32,86.59,13.32,0.09
484015100,667458,148928,3202,81.44,18.17,0.39
484015101,8756,3559,0,71.1,28.9,0.0
484015102,75148,16875,261,81.43,18.29,0.28
484015103,47376,13064,394,77.88,21.47,0.65
484015104,46617,2200,120,95.26,4.5,0.25
484015105,40094,2659,230,93.28,6.19,0.54
484015106,50175,11248,33,81.64,18.3,0.05
484015107,85540,9122,268,90.11,9.61,0.28
484015108,40620,5359,30,88.29,11.65,0.07
484015109,3261,765,15,80.7,18.93,0.37
484015110,14657,1199,46,92.17,7.54,0.29
484015111,154974,12086,165,92.67,7.23,0.1
484015112,15116,1338,205,90.74,8.03,1.23
484015113,131130,27025,128,82.85,17.07,0.08
484016001,7450,2355,0,75.98,24.02,0.0
484016002,9785,5790,100,62.42,36.94,0.64
484016003,17222,3071,30,84.74,15.11,0.15
484016004,89261,19643,179,81.83,18.01,0.16
484016005,10255,1848,0,84.73,15.27,0.0
484016006,95166,27693,574,77.1,22.44,0.47
484016007,2440,662,6,78.51,21.3,0.19
484016008,20445,2119,172,89.92,9.32,0.76
484016009,28153,7435,136,78.81,20.81,0.38
484016010,17072,5382,224,75.28,23.73,0.99
484016011,8970,2776,8,76.31,23.62,0.07
484016012,34493,8502,50,80.13,19.75,0.12
484016013,7290,1620,12,81.71,18.16,0.13
484016014,10289,3230,192,75.04,23.56,1.4
484016015,11301,6855,74,61.99,37.6,0.41
484016016,18723,2782,10,87.02,12.93,0.05
484016017,45458,4525,125,90.72,9.03,0.25
484016018,8523,893,12,90.4,9.47,0.13
484016019,14100,5092,44,73.3,26.47,0.23
484016020,23789,3441,254,86.56,12.52,0.92
484016021,9832,1363,21,87.66,12.15,0.19
484016022,17688,2493,129,87.09,12.27,0.64
484016023,6815,2567,0,72.64,27.36,0.0
484016024,16662,1075,117,93.32,6.02,0.66
484016025,33769,2810,57,92.17,7.67,0.16
484016026,4849,1207,28,79.7,19.84,0.46
484016027,4117,468,22,89.36,10.16,0.48
484016028,3562,1028,2,77.57,22.39,0.04
484016029,13875,761,85,94.25,5.17,0.58
484016030,10749,2083,63,83.36,16.15,0.49
484016031,12384,2290,0,84.39,15.61,0.0
484016032,16200,3640,16,81.59,18.33,0.08
484016033,84634,32695,495,71.83,27.75,0.42
484016034,27676,4678,193,85.03,14.37,0.59
484016035,8855,3303,4,72.81,27.16,0.03
484016036,6394,1130,0,84.98,15.02,0.0
484016037,34972,7064,11,83.17,16.8,0.03
484016038,7226,672,0,91.49,8.51,0.0
484016039,12600,2975,0,80.9,19.1,0.0
484016040,11171,2371,198,81.3,17.26,1.44
484016041,10788,2758,28,79.48,20.32,0.21
484016042,40689,21583,141,65.19,34.58,0.23
484016043,9710,2922,54,76.54,23.03,0.43
484016044,33226,15212,129,68.41,31.32,0.27
