GEOLEV2,RURAL_HH,URBAN_HH,RURAL_PCT,URBAN_PCT
484013003,10259,50648,16.84,83.16
484013004,10313,0,100.0,0.0
484013005,5550,13322,29.41,70.59
484013006,19141,0,100.0,0.0
484013007,8506,4042,67.79,32.21
484013008,10036,36524,21.55,78.45
484013009,13283,6552,66.97,33.03
484013010,3041,28432,9.66,90.34
484013011,18009,1786,90.98,9.02
484013012,21272,8848,70.62,29.38
484013013,21823,40641,34.94,65.06
484013014,12405,3740,76.83,23.17
484013015,19294,0,100.0,0.0
484013016,27989,32408,46.34,53.66
484013017,12961,0,100.0,0.0
484013018,18427,4434,80.6,19.4
484013019,17406,25115,40.94,59.06
484013020,2593,0,100.0,0.0
484013021,5289,9871,34.89,65.11
484013022,11738,4547,72.08,27.92
484013023,13427,22791,37.07,62.93
484013024,17601,0,100.0,0.0
484013025,16102,4559,77.93,22.07
484013026,12764,0,100.0,0.0
484013027,19490,3217,85.83,14.17
484013028,76271,50442,60.19,39.81
484013029,31912,15407,67.44,32.56
484013030,38966,59256,39.67,60.33
484013031,7539,4672,61.74,38.26
484013032,3522,6723,34.38,65.62
484013033,2895,0,100.0,0.0
484013034,9474,0,100.0,0.0
484013035,13077,0,100.0,0.0
484013036,9436,0,100.0,0.0
484013037,16131,4811,77.03,22.97
484013038,8869,0,100.0,0.0
484013039,2557,11765,17.85,82.15
484013040,9818,0,100.0,0.0
484013041,16487,30632,34.99,65.01
484013042,5899,5519,51.66,48.34
484013043,6166,0,100.0,0.0
484013044,16948,0,100.0,0.0
484013045,9294,0,100.0,0.0
484013046,24567,13902,63.86,36.14
484013047,4781,0,100.0,0.0
484013048,6159,305627,1.98,98.02
484013049,18711,0,100.0,0.0
484013050,84285,118311,41.6,58.4
484013051,21816,17058,56.12,43.88
484013052,15935,1667,90.53,9.47
484013053,28633,8116,77.92,22.08
484013054,12490,5839,68.14,31.86
484013055,13698,25848,34.64,65.36
484013056,11105,4035,73.35,26.65
484013057,13327,4100,76.47,23.53
484013058,28401,9541,74.85,25.15
484013059,14682,2609,84.91,15.09
484013060,6678,49551,11.88,88.12
484013061,31153,0,100.0,0.0
484013062,32060,58462,35.42,64.58
484013063,10829,0,100.0,0.0
484013064,4714,26120,15.29,84.71
484013065,3498,9534,26.84,73.16
484013066,15894,39238,28.83,71.17
484013067,14329,0,100.0,0.0
484013068,6643,161504,3.95,96.05
484013069,9030,0,100.0,0.0
484013070,2893,8220,26.03,73.97
484013071,29275,8445,77.61,22.39
484013072,960,27662,3.35,96.65
484013073,11070,10195,52.06,47.94
484013074,28409,86057,24.82,75.18
484013075,25279,142235,15.09,84.91
484013076,18220,0,100.0,0.0
484013077,7015,0,100.0,0.0
484013078,20113,4561,81.51,18.49
484013079,7037,31064,18.47,81.53
484013080,653,20781,3.05,96.95
484013081,19520,38366,33.72,66.28
484013082,21700,18017,54.64,45.36
484014001,7478,15668,32.31,67.69
484014002,2167,21465,9.17,90.83
484014003,2763,20585,11.83,88.17
484014004,3105,2609,54.34,45.66
484014005,4507,11934,27.41,72.59
484014006,15742,44226,26.25,73.75
484014007,3928,5505,41.64,58.36
484014008,22702,76076,22.98,77.02
484014009,4102,17012,19.43,80.57
484014010,1358,6422,17.46,82.54
484014011,5599,0,100.0,0.0
484014012,4176,0,100.0,0.0
484014013,21916,41697,34.45,65.55
484014014,2767,5897,31.94,68.06
484014015,12625,51840,19.58,80.42
484014016,11654,29864,28.07,71.93
484014017,5997,6864,46.63,53.37
484014018,13776,54099,20.3,79.7
484014019,6773,0,100.0,0.0
484014020,6837,4103,62.5,37.5
484014021,5395,15121,26.3,73.7
484014022,4815,35276,12.01,87.99
484014023,2451,111047,2.16,97.84
484014024,6679,22527,22.87,77.13
484014025,4639,14916,23.72,76.28
484014026,976,5349,15.43,84.57
484014027,15542,2828,84.61,15.39
484014028,2166,0,100.0,0.0
484014029,13065,4739,73.38,26.62
484014030,2727,52125,4.97,95.03
484014031,3264,0,100.0,0.0
484014032,2196,3787,36.7,63.3
484014033,10338,10861,48.77,51.23
484014034,1955,0,100.0,0.0
484014035,20558,32437,38.79,61.21
484014036,5125,14797,25.73,74.27
484014037,9005,16854,34.82,65.18
484014038,4193,0,100.0,0.0
484014039,8,1379717,0.0,100.0
484014040,5342,3390,61.18,38.82
484014041,1934,3985,32.67,67.33
484014042,4691,5309,46.91,53.09
484014043,17300,5955,74.39,25.61
484014044,14136,53697,20.84,79.16
484014045,13013,7439,63.63,36.37
484014046,8463,24073,26.01,73.99
484014047,1721,22798,7.02,92.98
484014048,10454,8476,55.22,44.78
484014049,8760,0,100.0,0.0
484014050,9261,37676,19.73,80.27
484014051,4004,26841,12.98,87.02
484014052,2845,2678,51.51,48.49
484014053,51360,120654,29.86,70.14
484014054,2931,2422,54.75,45.25
484014055,4401,17366,20.22,79.78
484014056,1815,0,100.0,0.0
484014057,1327,2769,32.4,67.6
484014058,6161,8246,42.76,57.24
484014059,5355,8675,38.17,61.83
484014060,1766,3541,33.28,66.72
484014061,18481,2513,88.03,11.97
484014062,3639,0,100.0,0.0
484014063,10581,95362,9.99,90.01
484014064,16208,17364,48.28,51.72
484014065,4419,6940,38.9,61.1
484014066,10772,42805,20.11,79.89
484014067,10837,279950,3.73,96.27
484014068,6572,4728,58.16,41.84
484014069,7734,0,100.0,0.0
484014070,5887,214358,2.67,97.33
484014071,2922,0,100.0,0.0
484014072,1428,6179,18.77,81.23
484014073,13181,58845,18.3,81.7
484014074,2881,13861,17.21,82.79
484014075,342,3435,9.05,90.95
484014076,3079,0,100.0,0.0
484014077,14823,13172,52.95,47.05
484014078,5936,25981,18.6,81.4
484014079,5311,11070,32.42,67.58
484014080,5086,0,100.0,0.0
484014081,3515,0,100.0,0.0
484014082,4812,32001,13.07,86.93
484014083,16887,70791,19.26,80.74
484014084,4356,10613,29.1,70.9
484014085,12954,25475,33.71,66.29
484014086,14635,6368,69.68,30.32
484014087,2075,14481,12.53,87.47
484014088,6771,9806,40.85,59.15
484014089,1216,2856,29.86,70.14
484014090,3246,4037,44.57,55.43
484014091,15005,24811,37.69,62.31
484014092,7172,3774,65.52,34.48
484014093,17461,132167,11.67,88.33
484014094,7313,36902,16.54,83.46
484014095,5599,4038,58.1,41.9
484014096,2623,20019,11.58,88.42
484014097,31383,695416,4.32,95.68
484014098,7255,678702,1.06,98.94
484014099,7804,2613,74.92,25.08
484014100,18743,17550,51.64,48.36
484014101,4630,564881,0.81,99.19
484014102,2597,3364,43.57,56.43
484014103,864,6685,11.45,88.55
484014104,4160,0,100.0,0.0
484014105,8701,14795,37.03,62.97
484014106,4586,0,100.0,0.0
484014107,3069,3627,45.83,54.17
484014108,7563,29765,20.26,79.74
484014109,10988,8078,57.63,42.37
484014110,5015,8771,36.38,63.62
484014111,1789,4829,27.03,72.97
484014112,1901,4249,30.91,69.09
484014113,10348,4964,67.58,32.42
484014114,144,18469,0.77,99.23
484014115,1595,3924,28.9,71.1
484014116,4760,15316,23.71,76.29
484014117,1353,3035,30.83,69.17
484014118,8237,14055,36.95,63.05
484014119,9772,20194,32.61,67.39
484014120,21655,1450364,1.47,98.53
484014121,3183,29777,9.66,90.34
484014122,3286,4180,44.01,55.99
484014123,14809,4470,76.81,23.19
484014124,28502,36263,44.01,55.99
484015001,53175,14696,78.35,21.65
484015002,4455,161129,2.69,97.31
484015003,47028,2233,95.47,4.53
484015004,11884,3437,77.57,22.43
484015005,87834,82270,51.64,48.36
484015006,1282,11414,10.1,89.9
484015007,15287,8381,64.59,35.41
484015008,22644,2601,89.7,10.3
484015009,7708,45666,14.44,85.56
484015010,6061,25835,19.0,81.0
484015011,36576,4397065,0.82,99.18
484015012,2804,10185,21.59,78.41
484015013,577,522732,0.11,99.89
484015014,57284,51999,52.42,47.58
484015015,5082,26798,15.94,84.06
484015016,8896,20212,30.56,69.44
