GEOLEV2,INDIG_YES_POP,INDIG_NO_POP,INDIG_UK_POP,INDIG_YES_PCT,INDIG_NO_PCT,INDIGS_UK_PCT
484015049,31648,129470,1567,19.45,79.58,0.96
484015050,3208,23281,92,12.07,87.59,0.35
484015051,3933,54108,245,6.75,92.83,0.42
484015052,17171,215729,770,7.35,92.32,0.33
484015053,629,12500,8,4.79,95.15,0.06
484015054,22752,8369,59,72.97,26.84,0.19
484015055,99559,699801,3640,12.4,87.15,0.45
484015056,8805,45512,89,16.18,83.65,0.16
484015057,73279,339016,907,17.73,82.05,0.22
484015058,152,9662,24,1.55,98.21,0.24
484015059,22358,46274,125,32.52,67.3,0.18
484015060,4361,29768,10,12.77,87.2,0.03
484015061,21304,13457,64,61.17,38.64,0.18
484015062,1348,32177,63,4.01,95.8,0.19
484015063,11,4567,0,0.24,99.76,0.0
484015064,31073,53019,204,36.86,62.9,0.24
484015065,4109,24675,37,14.26,85.61,0.13
484015066,710,3916,1,15.34,84.63,0.02
484015067,45903,243658,1286,15.78,83.78,0.44
484015068,4426,9702,28,31.27,68.54,0.2
484015069,932,14335,23,6.1,93.75,0.15
484015070,4558,26029,24,14.89,85.03,0.08
484015071,188430,40063,593,82.25,17.49,0.26
484015072,452,27297,128,1.62,97.92,0.46
484015073,12277,79864,279,13.28,86.41,0.3
484015074,41,6250,10,0.65,99.19,0.16
484015075,13,9090,17,0.14,99.67,0.19
484015076,2548,11103,47,18.6,81.06,0.34
484015077,388,22130,108,1.71,97.81,0.48
484015078,28479,500551,1069,5.37,94.43,0.2
484015079,2998,97766,500,2.96,96.55,0.49
484015080,673,12639,78,5.03,94.39,0.58
484015081,5392,36077,153,12.95,86.68,0.37
484015082,42565,19795,258,67.98,31.61,0.41
484015083,6149,26693,83,18.68,81.07,0.25
484015084,59943,39718,476,59.86,39.66,0.48
484015085,12797,83915,478,13.17,86.34,0.49
484015086,210,10626,9,1.94,97.98,0.08
484015087,28192,56512,189,33.21,66.57,0.22
484015088,1403,60333,502,2.25,96.94,0.81
484015089,4008,51834,186,7.15,92.51,0.33
484015090,5598,25215,95,18.11,81.58,0.31
484015091,580,18812,74,2.98,96.64,0.38
484015092,4058,33754,25,10.72,89.21,0.07
484015093,422,16829,51,2.44,97.27,0.29
484015094,1989,3442,12,36.54,63.24,0.22
484015095,3985,40859,75,8.87,90.96,0.17
484015096,11900,67272,314,14.97,84.63,0.4
