GEOLEV2,INT_NO_HH,INT_YES_HH,INT_UK_HH,INT_NO_PCT,INT_YES_PCT,INT_UK_PCT
484013056,11966,3165,0,79.08,20.92,0.0
484013057,13281,4077,0,76.51,23.49,0.0
484013058,31822,6027,0,84.08,15.92,0.0
484013059,13664,3600,0,79.15,20.85,0.0
484013060,24633,31596,0,43.81,56.19,0.0
484013061,29982,1112,26,96.34,3.57,0.08
484013062,54218,36180,0,59.98,40.02,0.0
484013063,8174,2639,0,75.59,24.41,0.0
484013064,17576,13243,12,57.01,42.95,0.04
484013065,5307,7709,0,40.77,59.23,0.0
484013066,39909,15030,27,72.61,27.34,0.05
484013067,13790,530,0,96.3,3.7,0.0
484013068,80290,87719,15,47.78,52.21,0.01
484013069,8063,965,0,89.31,10.69,0.0
484013070,5635,5472,0,50.73,49.27,0.0
484013071,35555,2129,0,94.35,5.65,0.0
484013072,20052,8538,32,70.06,29.83,0.11
484013073,14166,7045,9,66.76,33.2,0.04
484013074,57814,56622,0,50.52,49.48,0.0
484013075,72204,94543,0,43.3,56.7,0.0
484013076,17907,313,0,98.28,1.72,0.0
484013077,6294,721,0,89.72,10.28,0.0
484013078,23623,975,0,96.04,3.96,0.0
484013079,27171,10802,48,71.46,28.41,0.13
484013080,11209,10197,0,52.36,47.64,0.0
484013081,27862,29755,0,48.36,51.64,0.0
484013082,25306,14260,0,63.96,36.04,0.0
484014001,11865,11199,0,51.44,48.56,0.0
484014002,11144,12406,0,47.32,52.68,0.0
484014003,12462,10866,0,53.42,46.58,0.0
484014004,3745,1969,0,65.54,34.46,0.0
484014005,8723,7685,6,53.14,46.82,0.04
484014006,25739,34226,0,42.92,57.08,0.0
484014007,5456,3962,0,57.93,42.07,0.0
484014008,46460,52130,0,47.12,52.88,0.0
484014009,10118,10921,75,47.92,51.72,0.36
484014010,4616,3147,0,59.46,40.54,0.0
484014011,4349,1248,0,77.7,22.3,0.0
484014012,3141,1031,0,75.29,24.71,0.0
484014013,31800,31806,0,50.0,50.0,0.0
484014014,5011,3627,2,58.0,41.98,0.02
484014015,23574,40882,0,36.57,63.43,0.0
484014016,22649,18762,0,54.69,45.31,0.0
484014017,8199,4644,9,63.8,36.13,0.07
484014018,31128,36667,0,45.91,54.09,0.0
484014019,5295,1477,0,78.19,21.81,0.0
484014020,8088,2765,0,74.52,25.48,0.0
