GEOLEV2,EMPLOYED_POP,UNEMPLOYED_POP,EMP_IN_POP,EMP_UK_POP,EMPLOYED_PCT,UNEMPLOYED_PCT,EMP_IN_PCT,EMP_UK_PCT
484008029,13185,1955,12805,131,46.96,6.96,45.61,0.47
484008030,46101,6476,39274,149,50.11,7.04,42.69,0.16
484008031,287,46,326,0,43.55,6.98,49.47,0.0
484008032,2267,415,1647,7,52.28,9.57,37.98,0.16
484008033,3572,992,3532,55,43.82,12.17,43.33,0.67
484008034,15172,2592,13945,71,47.74,8.16,43.88,0.22
484008035,684166,75801,430615,3300,57.31,6.35,36.07,0.28
484008036,1988,305,1634,5,50.56,7.76,41.56,0.13
484008037,1481,319,1459,9,45.32,9.76,44.65,0.28
484008038,9585,1339,8776,17,48.61,6.79,44.51,0.09
484008039,333,110,548,4,33.47,11.06,55.08,0.4
484008040,448,67,490,8,44.23,6.61,48.37,0.79
484008041,963,315,968,15,42.59,13.93,42.81,0.66
484008042,1527,294,1585,10,44.7,8.61,46.4,0.29
484008043,18160,4677,12217,93,51.67,13.31,34.76,0.26
484008044,2210,484,2340,31,43.63,9.56,46.2,0.61
484008045,1211,592,1564,13,35.83,17.51,46.27,0.38
484008046,8324,1309,8547,119,45.49,7.15,46.71,0.65
484008047,923,223,1023,8,42.4,10.24,46.99,0.37
484008048,27225,2897,21268,74,52.9,5.63,41.33,0.14
484008049,2405,568,2812,37,41.31,9.76,48.3,0.64
484008050,9329,1458,8375,95,48.44,7.57,43.49,0.49
484008051,1856,634,1593,4,45.41,15.51,38.98,0.1
484008052,2405,570,2940,16,40.55,9.61,49.57,0.27
484008053,7008,1348,5577,4,50.28,9.67,40.02,0.03
484008054,650,220,884,4,36.97,12.51,50.28,0.23
484008055,829,213,795,13,44.81,11.51,42.97,0.7
484008056,944,224,1061,11,42.14,10.0,47.37,0.49
484008057,1779,376,1778,5,45.18,9.55,45.15,0.13
484008058,4467,616,3996,4,49.18,6.78,43.99,0.04
